Model,Accuracy,Precision,Recall,F1,TT (Sec),AUC,CV_Mean,CV_Std,PCA_Components,Explained_Variance,Learning_Rate,Max_Iter,Dim_Reduction,N_Components,C,Kernel,Gamma,Support_Vectors
ensemble,0.733488507419261,0.7295758782851827,0.733488507419261,0.7229080675662535,,,,,,,,,,,,,,
extra_trees,0.7294151876636602,0.7248609039880821,0.7294151876636602,0.7254031758991656,,0.7747598129465936,,,,,,,,,,,,
catboost,0.717486179807972,0.7146833929440801,0.717486179807972,0.700607509133845,,,,,,,,,,,,,,
ridge,0.7169042769857433,0.7108863783565624,0.7169042769857433,0.7102254635328479,,,,,,,,,,,,,,
lda,0.7122490544079139,0.7056676047900453,0.7122490544079139,0.7036430514920639,,,,,,,,,,,,,,
lightgbm,0.7035205120744835,0.7007098501789262,0.7035205120744835,0.6815455985444081,,,,,,,,,,,,,,
gradient_boosting,0.7029386092522548,0.7037833160874727,0.7029386092522548,0.6764198716374482,,,,,,,,,,,,,,
xgboost,0.7009019493744545,0.6957957683123341,0.7009019493744545,0.6813597102335401,,,,,,,,,,,,,,
knn,0.6575501891184172,0.6442256190771005,0.6575501891184172,0.6415869756241788,,,,,,,,,,,,,,
decision_tree,0.6444573756182718,0.6513568487112494,0.6444573756182718,0.5617259746982246,,,,,,,,,,,,,,
random_forest,0.6357288332848414,0.7154956516613076,0.6357288332848414,0.5158511864137454,,,,,,,,,,,,,,
qda,0.6188536514402095,0.3829798419008803,0.6188536514402095,0.47314943084591143,,,,,,,,,,,,,,
pca,0.5597905149839977,0.568868782870628,0.5597905149839977,0.5634446311527433,,,0.7111842196625574,0.005333947896003253,500.0,0.34046110035085464,0.01,2000.0,,,,,,
logistic_regression,0.5586267093395403,0.5686540033246597,0.5586267093395404,0.5625697015578262,,,0.7130466304676595,0.0038428936255456734,,0.34046110035085464,,1000.0,truncatedsvd,500.0,1.0,,,
svm,0.5562990980506255,0.5715194720926834,0.5562990980506255,0.5615091827789959,,,0.7140944619990022,0.005292824044638016,300.0,0.29193495544352643,,,,,1.0,rbf,scale,10634.0
